id,canonicalSmiles,inchiKey,drugType,blackBoxWarning,name,maximumClinicalTrialPhase,hasBeenWithdrawn,isApproved,tradeNames,synonyms,childChemblIds,description,crossReferences.Wikipedia,crossReferences.drugbank,linkedDiseases.rows,linkedDiseases.count,linkedTargets.rows,linkedTargets.count,yearOfFirstApproval,parentId,crossReferences.DailyMed,crossReferences.PubChem,crossReferences.chEBI,crossReferences.EMA,crossReferences.USAN,crossReferences.TG-GATEs,crossReferences.DrugCentral,crossReferences.INN
CHEMBL3137336,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl,AXTAPYRUEKNRBA-JTQLQIEISA-N,Small molecule,False,UPROSERTIB,2.0,False,False,[],"['Akt inhibitor gsk-2141795', 'Akt inhibitor gsk2141795', 'GSK-2141795C', 'GSK2141795', 'GSK2141795C', 'Gsk-2141795', 'Uprosertib']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 7 investigational indications.,,['DB11969'],"['EFO_0000222', 'EFO_0001378', 'EFO_0000756', 'EFO_0000616', 'MONDO_0002974', 'MONDO_0004992', 'EFO_0005537']",7.0,"['ENSG00000105221', 'ENSG00000117020', 'ENSG00000142208']",3,,,,,,,,,,
CHEMBL3545243,,,Small molecule,False,AS-703988,1.0,False,False,[],"['As-703988', 'MSC-2015103B']",,Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication.,,,['EFO_0000616'],1.0,"['ENSG00000169032', 'ENSG00000126934']",2,,,,,,,,,,
CHEMBL3589904,COc1ccc(Cl)c(-c2ccc(NC(=O)c3ccnn3C)nc2N)c1,ZRJGMDIPCQOGNI-UHFFFAOYSA-N,Small molecule,False,PF-04531083,2.0,False,False,[],"['PF-4531083', 'Pf-04531083']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,['DB12468'],"['HP_0012532', 'EFO_0010072']",2.0,['ENSG00000185313'],1,,,,,,,,,,
CHEMBL3707250,,,Small molecule,False,CP-601927,2.0,False,False,[],"['CP-601,927', 'Cp-601927']",,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,,['MONDO_0002009'],1.0,"['ENSG00000160716', 'ENSG00000101204']",2,,,,,,,,,,
CHEMBL4871106,NC(=O)c1cccc2c(N[C@H](CN3CCC3)c3ccc(Cl)c(C(F)(F)F)c3)ncnc12,HXAUJHZZPCBFPN-QGZVFWFLSA-N,Small molecule,False,MSC-2363318A,1.0,False,False,[],"['M-2698', 'M2698', 'MSC-2363318A', 'MSC2363318A', 'Msc-2363318a']",,Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication.,,,['EFO_0000616'],1.0,"['ENSG00000117020', 'ENSG00000142208', 'ENSG00000175634', 'ENSG00000108443']",4,,,,,,,,,,
CHEMBL1201233,CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1,SVEBYYWCXTVYCR-LBPRGKRZSA-N,Small molecule,False,METHYLDOPATE,4.0,False,True,[],['Methyldopate'],['CHEMBL1200432'],Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1962.,,,,,"['ENSG00000150594', 'ENSG00000184160', 'ENSG00000274286']",3,1962.0,,,,,,,,,
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,Small molecule,False,SELICICLIB,2.0,False,False,[],"['AL-39256', 'CYC-202', 'Cyc-202', 'NSC-701554', 'R-roscovitine', 'Roscovitin', 'Roscovitine', 'Seliciclib']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications.,['Seliciclib'],['DB06195'],"['MONDO_0009061', 'MONDO_0007254', 'EFO_0003060', 'EFO_0000616', 'EFO_1001110']",5.0,"['ENSG00000170312', 'ENSG00000123374', 'ENSG00000164885', 'ENSG00000136807', 'ENSG00000134058']",5,,,,"['124891685', '26753649', '26753650', '50100113', '50107006', '527377']",['45307'],,,,,
CHEMBL1743028,,,Antibody drug conjugate,False,GLEMBATUMUMAB VEDOTIN,2.0,False,False,[],"['CDX-011', 'CR-011-VCMMAE', 'Glembatumumab vedotin']",,Antibody drug conjugate drug with a maximum clinical trial phase of II (across all indications) and has 4 investigational indications.,,,"['EFO_0000637', 'EFO_0000756', 'EFO_0000708', 'MONDO_0007254']",4.0,"['ENSG00000136235', 'ENSG00000188229', 'ENSG00000101162', 'ENSG00000198033', 'ENSG00000127824', 'ENSG00000258947', 'ENSG00000167552', 'ENSG00000104833', 'ENSG00000261456', 'ENSG00000196230', 'ENSG00000123416', 'ENSG00000167553', 'ENSG00000152086', 'ENSG00000137267', 'ENSG00000137285', 'ENSG00000176014']",16,,,,,,,,,,
CHEMBL2105758,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1.O=C(O)/C=C\C(=O)O,MISPBGHDNZYFNM-BTJKTKAUSA-N,Small molecule,False,AVATROMBOPAG MALEATE,4.0,False,True,['Doptelet'],"['Avatrombopag maleate', 'E-5501 MALEATE', 'E5501 MALEATE']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2018 and is indicated for thrombocytopenia and liver disease.,,,"['HP_0001873', 'EFO_0001421']",2.0,['ENSG00000117400'],1,2018.0,CHEMBL2103883,['avatrombopag%20maleate'],,,['https://www.ema.europa.eu/en/medicines/human/EPAR/doptelet'],,,,
CHEMBL254328,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,GZOSMCIZMLWJML-VJLLXTKPSA-N,Small molecule,False,ABIRATERONE,4.0,False,True,['Zytiga'],"['Abiraterone', 'CB 7598', 'CB-7598', 'NSC-741232']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) and is indicated for cancer and neoplasm and has 4 investigational indications.,['Abiraterone'],['DB05812'],"['MONDO_0004992', 'EFO_0001663', 'EFO_0000616', 'MONDO_0008315', 'EFO_0000673', 'EFO_0000196']",6.0,"['ENSG00000145545', 'ENSG00000277893', 'ENSG00000128039', 'ENSG00000169083', 'ENSG00000148795']",5,,,,,['68642'],,,,,
CHEMBL3545224,Nc1cc(N2CCN(CCP(=O)(O)O)CC2)nc(NCC2CCC(CNCCCNC3CCCCC3)CC2)n1,QLVSJMZJSABWRX-UHFFFAOYSA-N,Small molecule,False,BURIXAFOR,2.0,False,False,[],"['Burixafor', 'Tg-0054']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 4 investigational indications.,,,"['EFO_0000183', 'EFO_0005952', 'EFO_0001378', 'MONDO_0008315']",4.0,['ENSG00000121966'],1,,,,,,,,,,
CHEMBL3701238,C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,KEIPNCCJPRMIAX-HNNXBMFYSA-N,Small molecule,False,FUTIBATINIB,4.0,False,True,['Lytgobi'],"['Fgfr-in-1', 'Futibatinib', 'TAS-120', 'Tas 120', 'Tas-120']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2022 and has 3 approved and 5 investigational indications.,,['DB15149'],"['EFO_0000182', 'MONDO_0007254', 'MONDO_0004992', 'EFO_0003891', 'EFO_1001968', 'EFO_0005221', 'EFO_0000616', 'EFO_0003060']",8.0,"['ENSG00000068078', 'ENSG00000077782', 'ENSG00000160867', 'ENSG00000066468']",4,2022.0,,,,,,['https://searchusan.ama-assn.org/finder/usan/search/FUTIBATINIB/relevant/1/'],,,
CHEMBL520733,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21,PKXWXXPNHIWQHW-RCBQFDQVSA-N,Small molecule,False,SEMAGACESTAT,3.0,False,False,[],"['LY-450139', 'LY450139', 'Semagacestat']",,Small molecule drug with a maximum clinical trial phase of III and has 1 investigational indication.,['Semagacestat'],['DB12463'],['MONDO_0004975'],1.0,"['ENSG00000117362', 'ENSG00000205155', 'ENSG00000138613', 'ENSG00000080815', 'ENSG00000162736', 'ENSG00000143801']",6,,,,,,,,,,
CHEMBL968,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,SAADBVWGJQAEFS-UHFFFAOYSA-N,Small molecule,True,FLURAZEPAM,4.0,False,True,[],"['Dalmane', 'Flurazepam', 'Insumin']",['CHEMBL3989724'],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1970 and is indicated for insomnia and has 5 investigational indications. This drug has a black box warning from the FDA.,['Flurazepam'],['DB00690'],"['EFO_0004698', 'EFO_0005230', 'EFO_0004698', 'HP_0000726', 'MONDO_0002050', 'MONDO_0005090']",6.0,"['ENSG00000022355', 'ENSG00000145864', 'ENSG00000113327', 'ENSG00000166206', 'ENSG00000109158', 'ENSG00000182256', 'ENSG00000268089', 'ENSG00000011677', 'ENSG00000094755', 'ENSG00000187730', 'ENSG00000163285', 'ENSG00000163288', 'ENSG00000102287', 'ENSG00000151834', 'ENSG00000186297', 'ENSG00000145863']",16,1970.0,,,"['144205754', '170465018', '26757995']",,,,,,
CHEMBL1076903,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,JQSHBVHOMNKWFT-DTORHVGOSA-N,Small molecule,False,VARENICLINE,4.0,False,True,[],"['CP-526,555', 'CP-526555', 'Varenicline']","['CHEMBL5303393', 'CHEMBL5316216']",Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2006 and is indicated for nicotine dependence and eye disease and has 21 investigational indications.,['Varenicline'],,"['MONDO_0007079', 'EFO_0002610', 'EFO_0004319', 'MONDO_0008903', 'EFO_0005672', 'MONDO_0002491', 'Orphanet_98757', 'EFO_0004329', 'MONDO_0004992', 'EFO_0007191', 'EFO_1000906', 'EFO_0003768', 'MONDO_0007079', 'EFO_0001071', 'MONDO_0100339', 'EFO_0003890', 'EFO_0004319', 'EFO_0004701', 'EFO_0003966', 'EFO_0003768', 'MONDO_0005180', 'EFO_0005411', 'MONDO_0005090', 'EFO_1000906', 'MONDO_0004975']",25.0,"['ENSG00000160716', 'ENSG00000101204']",2,2006.0,,,,['84500'],,,,,
CHEMBL1201284,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,VDHAWDNDOKGFTD-MRXNPFEDSA-N,Small molecule,False,CINACALCET,4.0,False,True,[],"['AMG 073', 'AMG-073', 'AMG073', 'Cinacalcet', 'KRN-1493', 'KRN1493']",['CHEMBL1200776'],Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2004 and has 7 approved and 8 investigational indications.,['Cinacalcet'],['DB01012'],"['EFO_1001173', 'EFO_1001152', 'HP_0003072', 'EFO_0003884', 'EFO_0000673', 'EFO_0003884', 'EFO_0005754', 'EFO_0008506', 'EFO_0001072', 'MONDO_0024300', 'EFO_1001173', 'EFO_0008519', 'EFO_0000313', 'EFO_0008506', 'EFO_1000456']",15.0,['ENSG00000036828'],1,2004.0,,,"['124893630', '50125742']",['48390'],,,,,
CHEMBL1201666,,,Protein,False,LEPIRUDIN,4.0,False,True,['Refludan'],"['Hirudin lepirudin', 'Lepirudin', 'Lepirudin Recombinant', 'Lepirudin recombinant']",,Protein drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1997 and has 4 approved and 1 investigational indication.,['Lepirudin'],,"['HP_0001873', 'HP_0004419', 'MONDO_0000831', 'HP_0001907', 'MONDO_0008903']",5.0,['ENSG00000180210'],1,1997.0,,,,,['https://www.ema.europa.eu/en/medicines/human/EPAR/refludan'],,,['2995'],
CHEMBL1237132,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,KPBZROQVTHLCDU-UHFFFAOYSA-N,Small molecule,False,CLEVIDIPINE,4.0,False,True,['Cleviprex'],"['Clevidepine', 'Clevidepine butyrate', 'Clevidipine']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2008 and is indicated for cardiovascular disease and has 5 investigational indications.,,['DB04920'],"['EFO_1001031', 'EFO_0000319', 'EFO_0004264', 'EFO_0000537', 'EFO_0004273', 'EFO_0000712']",6.0,"['ENSG00000151067', 'ENSG00000081248', 'ENSG00000157388', 'ENSG00000102001']",4,2008.0,,['clevidipine'],['170466066'],,,,,,
CHEMBL1580,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,FPVKHBSQESCIEP-JQCXWYLXSA-N,Small molecule,True,PENTOSTATIN,4.0,False,True,"['Nipent', 'Pentostatin']","['CI-825', 'Deoxycoformycin', 'NSC-218321', 'Nipent', 'PD 81565', 'PD-81565', 'Pentostatin', 'YK-176']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1991 and has 4 approved and 9 investigational indications. This drug has a black box warning from the FDA.,['Pentostatin'],['DB00552'],"['EFO_0000616', 'EFO_0000574', 'MONDO_0013730', 'EFO_0000565', 'MONDO_0004992', 'MONDO_0002367', 'EFO_0004599', 'MONDO_0011382', 'EFO_0000095', 'EFO_1000956', 'EFO_0006927', 'MONDO_0002280', 'MONDO_0020547']",13.0,['ENSG00000196839'],1,1991.0,,['pentostatin'],"['124893765', '144206967']",,,,,,
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,GJQPMPFPNINLKP-UHFFFAOYSA-N,Small molecule,False,DICHLORPHENAMIDE,4.0,False,True,"['Daranide', 'Keveyis', 'Oratrol']","['Dichlorphenamide', 'Diclofenamide']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1958 and is indicated for glaucoma and has 3 investigational indications.,['Diclofenamide'],['DB01144'],"['MONDO_0008223', 'MONDO_0008195', 'MONDO_0008224', 'MONDO_0005041']",4.0,"['ENSG00000167434', 'ENSG00000074410', 'ENSG00000104267', 'ENSG00000133742']",4,1958.0,,['dichlorphenamide'],"['11112264', '144203952', '56463645']",['101085'],,,,,
CHEMBL2109413,,,Antibody,False,AS-1409,1.0,False,False,[],"['AS-1409', 'As-1409', 'HUBC1-HUIL12']",,Antibody drug with a maximum clinical trial phase of I (across all indications) and has 2 investigational indications.,,,"['EFO_0000756', 'EFO_0000681']",2.0,['ENSG00000115414'],1,,,,,,,,,,
CHEMBL3142541,CCCCOC(=O)c1ccc(N)cc1.CCCCOC(=O)c1ccc(N)cc1.O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,ATAGSVCDFKGYPE-UHFFFAOYSA-N,Small molecule,False,BUTAMBEN PICRATE,4.0,True,True,[],"['ABBOTT-34842', 'Butamben picrate']",,Small molecule drug with a maximum clinical trial phase of IV. It was withdrawn in at least one region.,,,,,"['ENSG00000111199', 'ENSG00000104321']",2,,CHEMBL127516,,,['86300'],,,,,
CHEMBL3545097,CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,GYLDXIAOMVERTK-UHFFFAOYSA-N,Small molecule,False,SAPANISERTIB,2.0,False,False,[],"['CB-228', 'INK-128', 'INK128', 'Ink-128', 'MLN-0128', 'MLN0128', 'Mln-0128', 'Sapanisertib', 'TAK-228']",['CHEMBL3943182'],Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 25 investigational indications.,,['DB11836'],"['MONDO_0008315', 'EFO_0000616', 'EFO_0007416', 'EFO_1001968', 'EFO_0004230', 'EFO_0000182', 'EFO_0000681', 'EFO_1000251', 'MONDO_0007254', 'EFO_0000519', 'EFO_1001471', 'EFO_0001378', 'EFO_0000708', 'EFO_1000045', 'MONDO_0004992', 'EFO_0003060', 'EFO_1000043', 'EFO_0000209', 'EFO_0000466', 'EFO_0007532', 'MONDO_0002108', 'EFO_0000574', 'EFO_0009441', 'EFO_1001465', 'EFO_0003869']",25.0,['ENSG00000198793'],1,,,,,,,,,,
CHEMBL3545125,CCC1=C[C@@H]2[C@H](C1)C[C@]2(CN)CC(=O)O,FTBQORVNHOIASH-CKYFFXLPSA-N,Small molecule,False,MIROGABALIN,3.0,False,False,[],"['A-200-0700', 'A200-0700', 'Mirogabalin']",['CHEMBL3545257'],Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 4 investigational indications.,,['DB11825'],"['EFO_1000783', 'EFO_0005687', 'MONDO_0041052', 'EFO_0005762']",4.0,"['ENSG00000153956', 'ENSG00000007402']",2,,,,,,,,,,
CHEMBL4298004,,,Antibody,False,VOPRATELIMAB,2.0,False,False,[],"['Anti-icos agonist mab jtx-2011', 'JTX-2011', 'Jtx 2011', 'Jtx-2011', 'Vopratelimab']",,Antibody drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,,"['EFO_0003060', 'MONDO_0004992', 'EFO_0000616']",3.0,['ENSG00000163600'],1,,,,,,,['https://searchusan.ama-assn.org/finder/usan/search/VOPRATELIMAB/relevant/1/'],,,
CHEMBL482967,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,GPSZYOIFQZPWEJ-UHFFFAOYSA-N,Small molecule,False,CYC-116,1.0,False,False,[],"['CYC-116', 'Cyc 116', 'Cyc-116']",,Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication.,,,['EFO_0000616'],1.0,"['ENSG00000128052', 'ENSG00000178999', 'ENSG00000105146', 'ENSG00000087586']",4,,,,"['103904403', '137276048']",,,,,,
CHEMBL1201775,C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1.Cl.Cl,RKSUYBCOVNCALL-NTVURLEBSA-N,Small molecule,False,SAPROPTERIN DIHYDROCHLORIDE,4.0,False,True,"['Kuvan', 'Sapropterin dipharma']","['Biopten', 'Dapropterin hydrochloride', 'Phenoptin', 'SUN-0588', 'SUN-0588 (SHIRATORI)', 'Sapropterin dihydrochloride', 'Sapropterin hydrochloride', 'T-1401', 'T1401', 'T1401 (BIOMARIN)']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2007 and is indicated for hyperphenylalaninemia and phenylketonuria and has 9 investigational indications.,,,"['EFO_0003876', 'MONDO_0005090', 'EFO_0000537', 'EFO_0001361', 'EFO_0005411', 'MONDO_0011382', 'Orphanet_238583', 'MONDO_0009861', 'EFO_0000181', 'EFO_0003884', 'EFO_0001645']",11.0,['ENSG00000171759'],1,2007.0,CHEMBL1201774,['sapropterin%20dihydrochloride'],['144205335'],['32120'],['https://www.ema.europa.eu/en/medicines/human/EPAR/sapropterin-dipharma'],,,,
CHEMBL1523964,CN[C@@H](C)[C@H](O)c1ccccc1.CN[C@@H](C)[C@H](O)c1ccccc1.O=S(=O)(O)O,CAVQBDOACNULDN-KHFUBBAMSA-N,Small molecule,False,EPHEDRINE SULFATE,4.0,False,True,"['Akovaz', 'Corphedra', 'Emerphed', 'Expansyl', 'Franol plus', 'Franol-plus']","['Ephedrine sulfate', 'Ephedrine sulphate', 'Ephedrini sulfas']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2016 and is indicated for asthma and hypotension.,,,"['MONDO_0004979', 'EFO_0005251']",2.0,"['ENSG00000120907', 'ENSG00000150594', 'ENSG00000043591', 'ENSG00000169252', 'ENSG00000184160', 'ENSG00000171873', 'ENSG00000170214', 'ENSG00000274286', 'ENSG00000188778']",9,2016.0,CHEMBL211456,['ephedrine%20sulfate'],['50106282'],,,,,,
CHEMBL187927,c1cnc2c(c1)O[C@H]1CCN3CC[C@@]1(C2)C3,SUPRUPHAEXPGPF-QWHCGFSZSA-N,Small molecule,False,DIANICLINE,3.0,False,False,[],"['Dianicline', 'SSR-591813', 'SSR591813']",,Small molecule drug with a maximum clinical trial phase of III and has 1 investigational indication.,,['DB12125'],['EFO_0003768'],1.0,"['ENSG00000160716', 'ENSG00000101204']",2,,,,,,,,,,
CHEMBL2109391,,,Antibody,False,MDX-447,2.0,False,False,[],"['EMD-82633', 'MDX-447', 'Mdx-447']",,Antibody drug with a maximum clinical trial phase of II and has 1 investigational indication.,,,['EFO_1000158'],1.0,"['ENSG00000150337', 'ENSG00000146648']",2,,,,,,,,,,
CHEMBL2179529,O=C(c1ccc(Cl)o1)N1CC2CNCC2C1,GTUIQNHJSXQMKW-UHFFFAOYSA-N,Small molecule,False,AZD1446,2.0,False,False,[],"['AZD-1446', 'AZD1446 HCL', 'Azd 1446', 'Azd1446', 'Azd1446 free base', 'TC-6683', 'TC6683', 'TC6683 HCL']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,,"['HP_0100543', 'MONDO_0004975', 'EFO_0003888']",3.0,"['ENSG00000160716', 'ENSG00000101204']",2,,,,,,,,,,
CHEMBL254219,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,WDJUZGPOPHTGOT-XUDUSOBPSA-N,Small molecule,False,DIGITOXIN,4.0,False,True,"['Crystodigin', 'Digimerck', 'Nativelle digitaline']","['CRYSTODIGIN', 'Cristapurat', 'Digitalin, crystalline', 'Digitophyllin', 'Digitoxin', 'Digitoxinum', 'Digitoxoside', 'Glucodigin', 'Lanatoxin', 'NSC-7529', 'Purpurid', 'Tradigal']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1982 and is indicated for cardiovascular disease and has 1 investigational indication.,['Digitoxin'],['DB01396'],"['EFO_0000319', 'MONDO_0009061']",2.0,"['ENSG00000163399', 'ENSG00000129244', 'ENSG00000143153', 'ENSG00000018625', 'ENSG00000069849', 'ENSG00000105409', 'ENSG00000132681', 'ENSG00000137731']",8,1982.0,,,"['11533060', '144205212', '144212586', '170464713', '26754428', '26754429']",['28544'],,,,,
CHEMBL3545247,,,Small molecule,False,CAL-263,1.0,False,False,[],['Cal-263'],,Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication.,,,['EFO_0005854'],1.0,"['ENSG00000171608', 'ENSG00000105851']",2,,,,,,,,,,
CHEMBL3545291,CN(C)C(=O)CCn1nc(Nc2ccc3c(c2)OC(F)(F)O3)nc1-c1ccncc1,IURMHZBQEYNQOH-UHFFFAOYSA-N,Small molecule,False,JNJ-39393406,2.0,False,False,[],['Jnj-39393406'],,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,['DB11867'],"['MONDO_0002050', 'EFO_0004319', 'MONDO_0005090']",3.0,['ENSG00000175344'],1,,,,,,,,,,
CHEMBL3785909,COCCOc1cnc2ccn([C@H](C)c3nnc4c(F)cc(-c5cnn(C)c5)cn34)c(=O)c2c1,DWHXUGDWKAIASB-CQSZACIVSA-N,Small molecule,False,AMG-337,2.0,False,False,[],"['AMG 337', 'Amg-337']",,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 4 investigational indications.,,['DB15639'],"['EFO_0000616', 'EFO_0003897', 'EFO_0008498', 'MONDO_0004992']",4.0,['ENSG00000105976'],1,,,,,,,,,,
CHEMBL4297589,CCCCOC(=O)N1CCN(C(=O)[C@H](CP(=O)(O)O)NC(=O)c2cc(N3CC[C@H](OC)C3)nc(-c3ccccc3)n2)CC1,FYXHWMQPCJOJCH-GMAHTHKFSA-N,Small molecule,False,SELATOGREL,3.0,False,False,[],"['ACT-246475', 'Act-246475', 'Selatogrel']",,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 3 investigational indications.,,['DB15163'],"['EFO_0001421', 'EFO_0008583', 'EFO_0001645']",3.0,['ENSG00000169313'],1,,,,,,,,,,
CHEMBL43452,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,UVSMNLNDYGZFPF-UHFFFAOYSA-N,Small molecule,True,POMALIDOMIDE,4.0,False,True,"['Imnovid', 'Imnovid (previously pomalidomide celgene)', 'Pomalyst']","['Actimid', 'CC-4047', 'IMID 3', 'IMID-3', 'Pomalidomide']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2013 and is indicated for multiple myeloma and immune system disease and has 28 investigational indications. This drug has a black box warning from the FDA.,['Pomalidomide'],['DB08910'],"['EFO_0003073', 'EFO_0009441', 'EFO_0005952', 'MONDO_0019180', 'MONDO_0015564', 'MONDO_0017816', 'EFO_0002618', 'EFO_0002430', 'EFO_0006475', 'EFO_0000717', 'EFO_0002939', 'EFO_0002429', 'EFO_0004251', 'EFO_0000616', 'EFO_0000702', 'EFO_0001378', 'EFO_0000403', 'EFO_0000540', 'EFO_0000558', 'EFO_0004244', 'MONDO_0008315', 'EFO_1001968', 'EFO_0000183', 'EFO_0000309', 'MONDO_0019438', 'MONDO_0013730', 'EFO_0009448', 'EFO_0006738', 'MONDO_0044903', 'MONDO_0011382']",30.0,"['ENSG00000113851', 'ENSG00000167986', 'ENSG00000139842', 'ENSG00000100387']",4,2013.0,,['pomalidomide'],['174007398'],['72690'],['https://www.ema.europa.eu/en/medicines/human/EPAR/imnovid'],,,,
CHEMBL4594331,,,Protein,False,DAZODALIBEP,2.0,False,False,[],"['Dazodalibep', 'MEDI-4920', 'MEDI4920', 'Medi 4920', 'VIB-4920', 'VIB4920', 'Vib4920']",,Protein drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications.,,,"['EFO_0007160', 'EFO_0005809', 'EFO_0000685', 'EFO_0005761', 'EFO_0000699']",5.0,['ENSG00000102245'],1,,,,,,,['https://searchusan.ama-assn.org/finder/usan/search/DAZODALIBEP/relevant/1/'],,,
CHEMBL686,Cc1cccc(Nc2ccccc2C(=O)O)c1C,HYYBABOKPJLUIN-UHFFFAOYSA-N,Small molecule,True,MEFENAMIC ACID,4.0,False,True,"['Contraflam', 'Dysman-250', 'Dysman-500', 'Mefenamic acid', 'Meflam 250', 'Meflam 500', 'Mendys', 'Opustan 250', 'Opustan 500', 'Ponstan', 'Ponstan fte', 'Ponstel']","['CI-473', 'CN-35355', 'Gardan', 'INF-3355', 'J2.344B', 'M01AG01', 'Mefenamate', 'Mefenamic acid', 'Mefenaminic acid', 'Mephenamic acid', 'Mephenaminic acid', 'NSC-94437']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1967 and is indicated for rheumatic disease and dysmenorrhea and has 3 investigational indications. This drug has a black box warning from the FDA.,['Mefenamic_acid'],['DB00784'],"['EFO_0003843', 'EFO_0005755', 'EFO_0000400', 'HP_0100607', 'MP_0001914']",5.0,"['ENSG00000073756', 'ENSG00000095303']",2,1967.0,,['mefenamic%20acid'],"['104171280', '11112163', '124882006', '144203895', '144212300', '170464813', '26746974', '26751493', '56422190', '855723']",['6717'],,,['84'],,
CHEMBL1200733,FC(F)OC(F)C(F)(F)F,DPYMFVXJLLWWEU-UHFFFAOYSA-N,Small molecule,False,DESFLURANE,4.0,False,True,['Suprane'],"['Desflurane', 'I-653']",,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1992 and has 2 investigational indications.,['Desflurane'],['DB01189'],"['EFO_0005323', 'EFO_1002048']",2.0,"['ENSG00000022355', 'ENSG00000145864', 'ENSG00000113327', 'ENSG00000166206', 'ENSG00000109158', 'ENSG00000182256', 'ENSG00000268089', 'ENSG00000011677', 'ENSG00000094755', 'ENSG00000187730', 'ENSG00000163285', 'ENSG00000163288', 'ENSG00000102287', 'ENSG00000151834', 'ENSG00000186297', 'ENSG00000145863', 'ENSG00000145888', 'ENSG00000109738', 'ENSG00000169427', 'ENSG00000082482', 'ENSG00000186795', 'ENSG00000100433', 'ENSG00000171303']",23,1992.0,,['desflurane'],,['4445'],,,,,
